num,title,link,guid,pub_date,itunes_episode,is_noise,transcript_url_feed,transcript_url_raw,transcript_url_jsdelivr,transcript_url_final,vtt_source
001,B2P000 Warum BauertothePeople (B2P)?,https://www.bauertothepeople.at/2021/01/16/b2p000-warum-bauertothepeople-b2p/,podlove-2020-08-17t13:56:28+00:00-a5b69daea0b4573,2020-08-17T19:30:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p000-warum-bauertothepeople-b2p/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/001.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/001.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/001.vtt,github_raw
002,B2P001 Christian Bachler - Wutbauer oder Mutbauer?,https://www.bauertothepeople.at/b2p001-christian-bachler-wutbauer-oder-mutbauer/,podlove-2020-08-17t18:44:15+00:00-edc75f1124b44a9,2020-08-17T21:16:00+02:00,,False,https://www.bauertothepeople.at/b2p001-christian-bachler-wutbauer-oder-mutbauer/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/002.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/002.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/002.vtt,github_raw
003,B2P002 Patricia Kofler - Powerfrau auf der Alm,https://www.bauertothepeople.at/2021/01/16/b2p002-patricia-kofler-powerfrau-auf-der-alm/,podlove-2020-08-25t21:50:33+00:00-4ecc4a95b6e1657,2020-08-25T23:54:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p002-patricia-kofler-powerfrau-auf-der-alm/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/003.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/003.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/003.vtt,github_raw
004,B2P003 Christian Kofler - Der Tauernschecken-Checker,https://www.bauertothepeople.at/2021/01/16/b2p003-christian-kofler-der-tauernschecken-checker/,podlove-2020-09-02t15:26:31+00:00-ed2a7b7e3d25966,2020-09-02T18:00:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p003-christian-kofler-der-tauernschecken-checker/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/004.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/004.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/004.vtt,github_raw
005,B2P004 Susanne Karr - vegane Lebensweise,https://www.bauertothepeople.at/2021/01/16/b2p004-susanne-karr-vegane-lebensweise/,podlove-2020-09-09t14:48:28+00:00-e09840a82860278,2020-09-10T13:43:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p004-susanne-karr-vegane-lebensweise/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/005.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/005.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/005.vtt,github_raw
006,"B2P005 Herwig Ertl - Edelgreissler, Dickkopf, Botschafter",https://www.bauertothepeople.at/2021/01/16/b2p005-herwig-ertl-edelgreissler-dickkopf-botschafter/,podlove-2020-09-18t11:08:02+00:00-cb11987ab665741,2020-09-19T12:40:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p005-herwig-ertl-edelgreissler-dickkopf-botschafter/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/006.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/006.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/006.vtt,github_raw
007,B2P006 Sepp Brandstätter – Der weise Mann und der weiße Mais,https://www.bauertothepeople.at/2021/01/16/b2p006-sepp-brandstatter-der-weise-mann-und-der-weise-mais/,podlove-2020-09-18t19:45:42+00:00-5cd1f4f87de1259,2020-09-27T11:57:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p006-sepp-brandstatter-der-weise-mann-und-der-weise-mais/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/007.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/007.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/007.vtt,github_raw
008,B2P007 Lukas Zankl - The next Käseration,https://www.bauertothepeople.at/b2p007-lukas-zankl-the-next-kaseration/,podlove-2020-09-27t08:42:47+00:00-cc61f7802426ac4,2020-10-03T11:15:00+02:00,,False,https://www.bauertothepeople.at/b2p007-lukas-zankl-the-next-kaseration/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/008.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/008.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/008.vtt,github_raw
009,B2P008 Auszeit & Genuss am Peintnerhof,https://www.bauertothepeople.at/2021/01/16/b2p008-auszeit-genuss-am-peintnerhof/,podlove-2020-09-27t09:17:44+00:00-6daea67b0bbce5e,2020-10-11T10:36:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p008-auszeit-genuss-am-peintnerhof/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/009.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/009.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/009.vtt,github_raw
010,B2P009 Ernst Michael Preininger – Der kulinarische Vermesser,https://www.bauertothepeople.at/2021/01/16/b2p009-ernst-michael-preininger-der-kulinarische-vermesser/,podlove-2020-09-27t09:25:24+00:00-c2885e172b09388,2020-10-19T11:43:00+02:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p009-ernst-michael-preininger-der-kulinarische-vermesser/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/010.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/010.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/010.vtt,github_raw
